user_profile_id,follower_id,accepted
85,80,false
11,62,true
16,34,true
50,57,true
9,2,false
72,75,false
56,19,true
19,16,true
4,65,true
25,9,false
27,35,true
87,99,true
19,100,false
92,18,false
78,100,true
94,91,false
23,49,false
22,67,true
1,42,true
49,54,false
68,88,true
17,91,false
70,92,true
95,90,true
62,32,true
33,55,false
60,37,false
24,62,false
96,15,true
87,5,false
96,88,false
51,53,false
81,7,true
91,28,false
62,21,false
92,12,true
22,31,false
21,17,false
58,3,true
12,64,false
24,57,true
71,19,false
43,62,false
41,69,false
96,42,false
72,18,false
81,33,false
5,86,true
53,34,false
16,70,true
35,94,false
85,40,false
83,75,true
84,60,false
94,27,true
93,92,false
69,39,true
70,82,true
81,42,false
32,4,false
25,27,true
41,65,true
80,35,false
86,80,true
93,61,true
95,10,true
93,5,true
2,37,false
70,33,false
91,65,false
45,72,false
45,44,false
62,16,true
64,8,false
57,6,true
7,69,true
98,80,true
71,55,false
6,52,false
73,52,false
61,82,false
59,76,true
98,14,true
7,97,true
26,52,false
67,32,false
80,44,true
65,15,false
95,62,true
40,84,true
9,44,false
68,54,false
33,43,false
20,89,true
65,9,true
11,25,false
95,60,true
12,16,false
25,96,true
3,1,true
