user_profile_id,group_id,admin
59,23,false
54,37,false
35,97,true
1,64,true
61,18,false
19,64,false
69,95,true
81,79,true
5,87,true
57,35,true
71,67,true
94,65,false
81,65,true
35,85,true
46,40,true
81,80,true
58,58,false
11,74,false
24,66,false
37,49,true
43,52,false
82,40,true
79,66,false
85,77,false
7,84,false
57,55,true
86,42,true
52,34,false
73,18,false
61,77,false
33,100,false
99,48,false
80,82,false
64,42,false
69,55,false
84,97,true
14,23,false
3,4,true
10,84,true
41,20,false
82,37,false
70,3,true
54,44,true
44,47,false
94,24,false
72,49,true
12,49,false
70,25,false
31,71,true
17,93,true
1,55,false
16,39,true
20,54,false
19,13,false
71,13,false
17,55,true
80,19,false
36,19,false
31,29,true
78,40,true
95,88,false
93,8,false
90,92,true
83,67,false
73,24,true
36,7,true
53,49,false
98,11,false
1,35,false
56,66,false
100,28,false
21,86,false
78,2,false
47,68,false
64,9,true
29,38,true
37,50,true
50,100,false
38,80,false
3,99,true
31,93,false
46,44,false
85,64,false
93,89,true
39,87,true
20,9,true
56,82,false
100,95,true
34,94,true
76,2,false
73,88,true
62,53,false
77,44,true
49,81,true
30,34,false
37,41,false
17,27,false
82,23,false
98,82,false
17,65,true
